order_id,order_line_id,customer_id,product,amount,order_date,quantity
ORD_041,1,CUST_009,Phone,710.13,2025-12-07 14:54:00,1
ORD_041,2,CUST_009,Keyboard,76.85,2025-12-07 14:54:00,1
ORD_042,1,CUST_028,Headphones,95.75,2026-01-05 09:39:00,3
ORD_042,2,CUST_028,Monitor,207.49,2026-01-05 09:39:00,2
ORD_043,1,CUST_058,Monitor,199.85,2025-12-12 16:30:00,1
ORD_043,2,CUST_058,Tablet,302.25,2025-12-12 16:30:00,3
ORD_043,3,CUST_058,TV,489.07,2025-12-12 16:30:00,3
ORD_044,1,CUST_033,Monitor,192.29,2025-12-19 18:00:00,1
ORD_045,1,CUST_037,Speaker,142.19,2026-01-04 11:30:00,1
ORD_045,2,CUST_037,Mouse,24.86,2026-01-04 11:30:00,1
ORD_046,1,CUST_043,Tablet,291.84,2025-12-29 08:30:00,1
ORD_047,1,CUST_048,TV,476.77,2025-12-17 11:14:00,1
ORD_048,1,CUST_010,Headphones,95.25,2025-12-01 10:48:00,3
ORD_049,1,CUST_027,Charger,20.69,2026-01-05 17:24:00,2
ORD_049,2,CUST_027,Case,30.20,2026-01-05 17:24:00,3
ORD_049,3,CUST_027,Headphones,101.05,2026-01-05 17:24:00,3
ORD_050,1,CUST_013,Speaker,149.29,2026-01-06 18:36:00,2
ORD_051,1,CUST_081,Monitor,200.08,2026-01-08 15:42:00,2
ORD_051,2,CUST_081,TV,492.80,2026-01-08 15:42:00,2
ORD_051,3,CUST_081,Tablet,296.00,2026-01-08 15:42:00,2
ORD_052,1,CUST_039,TV,480.91,2025-12-09 20:10:00,3
ORD_053,1,CUST_036,Mouse,23.84,2025-12-26 12:45:00,1
ORD_053,2,CUST_036,Case,28.80,2025-12-26 12:45:00,2
ORD_054,1,CUST_051,Mouse,25.57,2025-12-22 23:14:00,3
ORD_054,2,CUST_051,Remote,49.86,2025-12-22 23:14:00,1
ORD_055,1,CUST_055,Remote,49.67,2025-12-20 10:25:00,3
ORD_056,1,CUST_046,Case,29.93,2026-01-06 09:57:00,3
